"Entity","Year","all.years"
"Africa (UN)",1950,227776368
"Africa (UN)",1951,232556927
"Africa (UN)",1952,237539489
"Africa (UN)",1953,242685015
"Africa (UN)",1954,248005776
"Africa (UN)",1955,253537795
"Africa (UN)",1956,259271393
"Africa (UN)",1957,265128614
"Africa (UN)",1958,271041689
"Africa (UN)",1959,277271556
"Africa (UN)",1960,283921898
"Africa (UN)",1961,290813698
"Africa (UN)",1962,297959591
"Africa (UN)",1963,305370992
"Africa (UN)",1964,313060347
"Africa (UN)",1965,321013199
"Africa (UN)",1966,329251944
"Africa (UN)",1967,337850657
"Africa (UN)",1968,346800593
"Africa (UN)",1969,356032214
"Africa (UN)",1970,365551819
"Africa (UN)",1971,375326054
"Africa (UN)",1972,385311825
"Africa (UN)",1973,395821587
"Africa (UN)",1974,406869939
"Africa (UN)",1975,418433110
"Africa (UN)",1976,430496566
"Africa (UN)",1977,442660083
"Africa (UN)",1978,455538883
"Africa (UN)",1979,469198125
"Africa (UN)",1980,483051340
"Africa (UN)",1981,497620586
"Africa (UN)",1982,512958502
"Africa (UN)",1983,528232357
"Africa (UN)",1984,543637734
"Africa (UN)",1985,559663726
"Africa (UN)",1986,575966951
"Africa (UN)",1987,592600988
"Africa (UN)",1988,609387340
"Africa (UN)",1989,626358837
"Africa (UN)",1990,643774979
"Africa (UN)",1991,661103454
"Africa (UN)",1992,678557766
"Africa (UN)",1993,696621428
"Africa (UN)",1994,714502339
"Africa (UN)",1995,732695095
"Africa (UN)",1996,751473444
"Africa (UN)",1997,770384365
"Africa (UN)",1998,789981404
"Africa (UN)",1999,810079502
"Africa (UN)",2000,830582475
"Africa (UN)",2001,851690036
"Africa (UN)",2002,873411015
"Africa (UN)",2003,895734171
"Africa (UN)",2004,918778168
"Africa (UN)",2005,942546337
"Africa (UN)",2006,966932085
"Africa (UN)",2007,992055553
"Africa (UN)",2008,1018065221
"Africa (UN)",2009,1044777480
"Africa (UN)",2010,1072216450
"Africa (UN)",2011,1100148553
"Africa (UN)",2012,1128843402
"Africa (UN)",2013,1158780240
"Africa (UN)",2014,1189220297
"Africa (UN)",2015,1220075440
"Africa (UN)",2016,1251208407
"Africa (UN)",2017,1282902065
"Africa (UN)",2018,1315409722
"Africa (UN)",2019,1348005440
"Africa (UN)",2020,1380821116
"Africa (UN)",2021,1413753005
"Africa (UN)",2022,1446883598
"Africa (UN)",2023,1480770476
"Asia (UN)",1950,1368075360
"Asia (UN)",1951,1394810908
"Asia (UN)",1952,1424440936
"Asia (UN)",1953,1456150725
"Asia (UN)",1954,1488943413
"Asia (UN)",1955,1523679988
"Asia (UN)",1956,1558805602
"Asia (UN)",1957,1595227731
"Asia (UN)",1958,1632429785
"Asia (UN)",1959,1665271717
"Asia (UN)",1960,1692348870
"Asia (UN)",1961,1718751763
"Asia (UN)",1962,1753920045
"Asia (UN)",1963,1799912110
"Asia (UN)",1964,1848054016
"Asia (UN)",1965,1894647547
"Asia (UN)",1966,1940809519
"Asia (UN)",1967,1986937196
"Asia (UN)",1968,2035404605
"Asia (UN)",1969,2086069522
"Asia (UN)",1970,2137558990
"Asia (UN)",1971,2188326530
"Asia (UN)",1972,2238486472
"Asia (UN)",1973,2289518276
"Asia (UN)",1974,2340061132
"Asia (UN)",1975,2389169983
"Asia (UN)",1976,2437129334
"Asia (UN)",1977,2484896095
"Asia (UN)",1978,2532509711
"Asia (UN)",1979,2581432895
"Asia (UN)",1980,2632326489
"Asia (UN)",1981,2684687792
"Asia (UN)",1982,2739365820
"Asia (UN)",1983,2794763998
"Asia (UN)",1984,2850198993
"Asia (UN)",1985,2906963689
"Asia (UN)",1986,2965641130
"Asia (UN)",1987,3026396295
"Asia (UN)",1988,3087408960
"Asia (UN)",1989,3148470964
"Asia (UN)",1990,3209882544
"Asia (UN)",1991,3269006328
"Asia (UN)",1992,3325622530
"Asia (UN)",1993,3380865773
"Asia (UN)",1994,3434524724
"Asia (UN)",1995,3487680445
"Asia (UN)",1996,3540729931
"Asia (UN)",1997,3593265262
"Asia (UN)",1998,3645256100
"Asia (UN)",1999,3696551645
"Asia (UN)",2000,3747780266
"Asia (UN)",2001,3798918055
"Asia (UN)",2002,3848340891
"Asia (UN)",2003,3896798868
"Asia (UN)",2004,3945396095
"Asia (UN)",2005,3993926524
"Asia (UN)",2006,4042825645
"Asia (UN)",2007,4091636859
"Asia (UN)",2008,4140358315
"Asia (UN)",2009,4189938641
"Asia (UN)",2010,4239822624
"Asia (UN)",2011,4289496306
"Asia (UN)",2012,4339608752
"Asia (UN)",2013,4388941113
"Asia (UN)",2014,4436946245
"Asia (UN)",2015,4483307826
"Asia (UN)",2016,4528415110
"Asia (UN)",2017,4572478758
"Asia (UN)",2018,4613623476
"Asia (UN)",2019,4652385211
"Asia (UN)",2020,4688113308
"Asia (UN)",2021,4718316334
"Asia (UN)",2022,4747660972
"Asia (UN)",2023,4778004427
"Europe (UN)",1950,548867419
"Europe (UN)",1951,553834756
"Europe (UN)",1952,558789946
"Europe (UN)",1953,564143687
"Europe (UN)",1954,569744153
"Europe (UN)",1955,575443477
"Europe (UN)",1956,581156248
"Europe (UN)",1957,587187517
"Europe (UN)",1958,593619818
"Europe (UN)",1959,599820002
"Europe (UN)",1960,605817143
"Europe (UN)",1961,611861808
